i	k	A	R0	R1	R2	R3	R4	R5	R6	R7	R8	D2	D3	D4	D5	D6	F6			
0	0	I	I	X	X	X	X	X	X	X	X	I	X	X	X	X	X			
0	1	I	"0,1"	X	X	X	X	X	X	X	X	I	I	X	X	X	X			
0	2	I	"0,2"	X	X	X	X	X	X	X	X	I	I	I	X	X	X			
0	3	I	"0,3"	X	X	X	X	X	X	X	X	I	I	I	I	X	X			
0	4	I	"0,4"	X	X	X	X	X	X	X	X	I	I	I	I	I	X			
0	5	I	"0,5"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	6	I	"0,6"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	7	I	"0,7"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	8	I	"0,8"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	9	I	"0,9"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	10	I	"0,10"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	11	I	"0,11"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	12	I	"0,12"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	13	I	"0,13"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	14	I	"0,14"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	15	I	"0,15"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
0	16	I	"0,16"	X	X	X	X	X	X	X	X	I	I	I	I	I	I			
1	0	"1,0"	I	"0,1"	X	X	X	X	X	X	X	I	I	I	I	I	I			
1	1	"1,0"	I	"0,2"	"1,1"	X	X	X	X	X	X	"1,1"	I	I	I	I	I			
1	2	"1,0"	I	"0,3"	"1,2"	"1,1"	X	X	X	X	X	"1,2"	"1,1"	I	I	I	I			
1	3	"1,0"	I	"0,4"	"1,3"	"1,2"	"1,1"	X	X	X	X	"1,3"	"1,2"	"1,1"	I	I	I			
1	4	"1,0"	I	"0,5"	"1,4"	"1,3"	"1,2"	"1,1"	X	X	X	"1,4"	"1,3"	"1,2"	"1,1"	I	I			
1	5	"1,0"	I	"0,6"	"1,5"	"1,4"	"1,3"	"1,2"	"1,1"	X	X	"1,5"	"1,4"	"1,3"	"1,2"	"1,1"	"1,4"			
1	6	"1,0"	I	"0,7"	"1,6"	"1,5"	"1,4"	"1,3"	"1,2"	"1,6"	X	"1,6"	"1,5"	"1,4"	"1,3"	"1,2"	"1,4"			
1	7	"1,0"	I	"0,8"	"1,7"	"1,6"	"1,5"	"1,4"	"1,3"	"1,8"	"1,6"	"1,7"	"1,6"	"1,5"	"1,4"	"1,3"	"1,4"			
1	8	"1,0"	"1,6"	"0,9"	"1,8"	"1,7"	"1,6"	"1,5"	"1,4"	"1,10"	"1,8"	"1,8"	"1,7"	"1,6"	"1,5"	"1,4"	"1,4"			
1	9	"1,0"	"1,8"	"0,10"	"1,9"	"1,8"	"1,7"	"1,6"	"1,5"	"1,12"	"1,10"	"1,9"	"1,8"	"1,7"	"1,6"	"1,5"	"1,8"			
1	10	"1,0"	"1,10"	"0,11"	"1,10"	"1,9"	"1,8"	"1,7"	"1,6"	"1,18"	"1,12"	"1,10"	"1,9"	"1,8"	"1,7"	"1,6"	"1,8"			
1	11	"1,0"	"1,12"	"0,12"	"1,11"	"1,10"	"1,9"	"1,8"	"1,7"	"1,20"	"1,18"	"1,11"	"1,10"	"1,9"	"1,8"	"1,7"	"1,8"			
1	12	"1,0"	"1,18"	"0,13"	"1,12"	"1,11"	"1,10"	"1,9"	"1,8"	"1,22"	"1,20"	"1,12"	"1,11"	"1,10"	"1,9"	"1,8"	"1,8"			
1	13	"1,0"	"1,20"	"0,14"	"1,13"	"1,12"	"1,11"	"1,10"	"1,9"	"1,24"	"1,22"	"1,13"	"1,12"	"1,11"	"1,10"	"1,9"	"1,12"			
1	14	"1,0"	"1,22"	"0,15"	"1,14"	"1,13"	"1,12"	"1,11"	"1,10"	"1,30"	"1,24"	"1,14"	"1,13"	"1,12"	"1,11"	"1,10"	"1,12"			
1	15	"1,0"	"1,24"	"0,16"	"1,15"	"1,14"	"1,13"	"1,12"	"1,11"	"1,32"	"1,30"	"1,15"	"1,14"	"1,13"	"1,12"	"1,11"	"1,12"			
1	16	"1,0"	"1,30"	I	"1,16"	"1,15"	"1,14"	"1,13"	"1,12"	"1,34"	"1,32"	"1,16"	"1,15"	"1,14"	"1,13"	"1,12"	"1,12"			
2	0	"2,0"	"1,32"	"1,6"	I	"1,16"	"1,15"	"1,14"	"1,13"	"1,36"	"1,34"	I	"1,16"	"1,15"	"1,14"	"1,13"	"1,16"			
2	1	"2,0"	"1,34"	"1,8"	"3,6"	I	"1,16"	"1,15"	"1,14"	"1,42"	"1,36"	"2,1"	I	"1,16"	"1,15"	"1,14"	"1,16"			
2	2	"2,0"	"1,36"	"1,10"	"3,8"	"3,6"	I	"1,16"	"1,15"	"1,44"	"1,42"	"2,2"	"2,1"	I	"1,16"	"1,15"	"1,16"			
2	3	"2,0"	"1,42"	"1,12"	"3,10"	"3,8"	"3,6"	I	"1,16"	"1,46"	"1,44"	"2,3"	"2,2"	"2,1"	I	"1,16"	"1,16"			
2	4	"2,0"	"1,44"	"1,18"	"3,12"	"3,10"	"3,8"	"3,6"	I	"1,48"	"1,46"	"2,4"	"2,3"	"2,2"	"2,1"	I	I			
